Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 122.0.0.0,,,19-03-2024 13:53:31,19-03-2024 13:53:47,15.765s,PASSED
"navigateToUrl(""https://ui.cogmento.com/"")",Chrome 122.0.0.0,,,19-03-2024 13:53:47,19-03-2024 13:54:00,13.214s,PASSED
"setText(findTestObject(""Object Repository/Dash/Edit Contact/Page_Cogmento CRM/input_Login_email""), ""frutaman21@gmail.com"")",Chrome 122.0.0.0,,,19-03-2024 13:54:00,19-03-2024 13:55:01,1m - 0.883s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Dash/Edit Contact/Page_Cogmento CRM/input_Login_password""), ""A7XJPV0S6sHhhsKzpg571w=="")",Chrome 122.0.0.0,,,19-03-2024 13:55:01,19-03-2024 13:55:31,30.677s,PASSED
"click(findTestObject(""Object Repository/Dash/Edit Contact/Page_Cogmento CRM/div_Login""))",Chrome 122.0.0.0,,,19-03-2024 13:55:31,19-03-2024 13:56:02,30.390s,PASSED
"click(findTestObject(""Object Repository/Dash/Edit Contact/Page_Cogmento CRM/span_Contacts""))",Chrome 122.0.0.0,,,19-03-2024 13:56:02,19-03-2024 13:56:32,30.540s,PASSED
"click(findTestObject(""Object Repository/Dash/Edit Contact/Page_Cogmento CRM/i_Active_edit icon""))",Chrome 122.0.0.0,,,19-03-2024 13:56:32,19-03-2024 13:57:04,31.497s,PASSED
"setText(findTestObject(""Object Repository/Dash/Edit Contact/Page_Cogmento CRM/input_Department_department""), ""Marketing"")",Chrome 122.0.0.0,,,19-03-2024 13:57:04,19-03-2024 13:58:06,1m - 2.133s,PASSED
"click(findTestObject(""Object Repository/Dash/Edit Contact/Page_Cogmento CRM/button_Save""))",Chrome 122.0.0.0,,,19-03-2024 13:58:06,19-03-2024 13:58:37,30.660s,PASSED
takeScreenshot(),Chrome 122.0.0.0,,,19-03-2024 13:58:37,19-03-2024 13:59:07,30.413s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,19-03-2024 13:59:07,19-03-2024 13:59:08,0.916s,PASSED
,,,,,,,
Test Cases/Search/TC003 - Contact Search,Chrome 122.0.0.0,,,19-03-2024 13:59:08,19-03-2024 14:04:28,5m - 19.866s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,19-03-2024 13:59:09,19-03-2024 13:59:12,3.212s,PASSED
"navigateToUrl(""https://ui.cogmento.com/"")",Chrome 122.0.0.0,,,19-03-2024 13:59:12,19-03-2024 13:59:22,10.185s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Cogmento CRM/input_Login_email""), ""frutaman21@gmail.com"")",Chrome 122.0.0.0,,,19-03-2024 13:59:22,19-03-2024 14:00:23,1m - 0.832s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Cogmento CRM/input_Login_password""), ""A7XJPV0S6sHhhsKzpg571w=="")",Chrome 122.0.0.0,,,19-03-2024 14:00:23,19-03-2024 14:00:54,30.929s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Cogmento CRM/div_Login""))",Chrome 122.0.0.0,,,19-03-2024 14:00:54,19-03-2024 14:01:24,30.324s,PASSED
"setText(findTestObject(""Dash/Page_Cogmento CRM/input_text""), ""farhan"")",Chrome 122.0.0.0,,,19-03-2024 14:01:24,19-03-2024 14:02:25,1m - 0.541s,PASSED
"sendKeys(findTestObject(""Dash/Page_Cogmento CRM/input_text""), Keys.chord(ENTER))",Chrome 122.0.0.0,,,19-03-2024 14:02:25,19-03-2024 14:02:56,30.754s,PASSED
"click(findTestObject(""Dash/Page_Cogmento CRM/a_Farhan Ananda Windi""))",Chrome 122.0.0.0,,,19-03-2024 14:02:56,19-03-2024 14:03:26,30.560s,PASSED
"verifyElementText(findTestObject(""Dash/Page_Cogmento CRM/span_Farhan Windi""), ""Farhan Windi"")",Chrome 122.0.0.0,,,19-03-2024 14:03:26,19-03-2024 14:03:57,30.309s,PASSED
takeScreenshot(),Chrome 122.0.0.0,,,19-03-2024 14:03:57,19-03-2024 14:04:27,30.224s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,19-03-2024 14:04:27,19-03-2024 14:04:28,1.058s,PASSED
